date,data,codigo,nivel_piezometrico,profundidade_nivel_agua,coord_x_m,coord_y_m,altitude_m,sistema_aquifero,estado,freguesia,nivel
1979-05-01,1979-05-01,418/4,13.91,2.09,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.09
1979-06-01,1979-06-01,418/4,13.31,2.69,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.69
1979-07-01,1979-07-01,418/4,12.99,3.01,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.01
1979-08-01,1979-08-01,418/4,12.84,3.16,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.16
1979-09-01,1979-09-01,418/4,12.53,3.47,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.47
1979-10-01,1979-10-01,418/4,12.6,3.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.4
1979-12-01,1979-12-01,418/4,13.15,2.85,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.85
1980-01-01,1980-01-01,418/4,13.17,2.83,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.83
1980-02-01,1980-02-01,418/4,13.34,2.66,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.66
1980-03-01,1980-03-01,418/4,13.46,2.54,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.54
1980-04-01,1980-04-01,418/4,13.69,2.31,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.31
1980-05-01,1980-05-01,418/4,13.45,2.55,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.55
1980-06-01,1980-06-01,418/4,13.08,2.92,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.92
1980-07-01,1980-07-01,418/4,12.77,3.23,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.23
1980-09-01,1980-09-01,418/4,12.55,3.45,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.45
1980-11-01,1980-11-01,418/4,12.49,3.51,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.51
1980-12-01,1980-12-01,418/4,12.66,3.34,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.34
1981-01-01,1981-01-01,418/4,12.65,3.35,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.35
1981-03-01,1981-03-01,418/4,12.6,3.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.4
1981-05-01,1981-05-01,418/4,12.77,3.23,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.23
1981-06-01,1981-06-01,418/4,12.73,3.27,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.27
1981-07-01,1981-07-01,418/4,12.68,3.32,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.32
1981-09-01,1981-09-01,418/4,12.17,3.83,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.83
1981-10-01,1981-10-01,418/4,12.63,3.37,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.37
1982-01-01,1982-01-01,418/4,13.91,2.09,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.09
1982-03-01,1982-03-01,418/4,13.84,2.16,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.16
1982-05-01,1982-05-01,418/4,13.76,2.24,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.24
1982-11-01,1982-11-01,418/4,12.4,3.6,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.6
1982-12-01,1982-12-01,418/4,12.67,3.33,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.33
1983-02-01,1983-02-01,418/4,12.6,3.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.4
1983-11-01,1983-11-01,418/4,12.15,3.85,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.85
1983-12-01,1983-12-01,418/4,13.82,2.18,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.18
1984-04-01,1984-04-01,418/4,13.84,2.16,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.16
1984-05-01,1984-05-01,418/4,13.52,2.48,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.48
1984-06-01,1984-06-01,418/4,13.54,2.46,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.46
1984-07-01,1984-07-01,418/4,13.12,2.88,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.88
1984-10-01,1984-10-01,418/4,12.35,3.65,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.65
1984-11-01,1984-11-01,418/4,12.47,3.53,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.53
1985-02-01,1985-02-01,418/4,13.78,2.22,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.22
1985-05-01,1985-05-01,418/4,13.94,2.06,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.06
1985-09-01,1985-09-01,418/4,12.5,3.5,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.5
1985-11-01,1985-11-01,418/4,12.67,3.33,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.33
1986-03-01,1986-03-01,418/4,13.65,2.35,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.35
1986-04-01,1986-04-01,418/4,13.52,2.48,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.48
1986-05-01,1986-05-01,418/4,13.34,2.66,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.66
1986-06-01,1986-06-01,418/4,13.1,2.9,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.9
1986-07-01,1986-07-01,418/4,12.39,3.61,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.61
1986-09-01,1986-09-01,418/4,12.22,3.78,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.78
1986-11-01,1986-11-01,418/4,12.22,3.78,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.78
1987-03-01,1987-03-01,418/4,13.56,2.44,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.44
1987-05-01,1987-05-01,418/4,13.38,2.62,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.62
1987-06-01,1987-06-01,418/4,13.06,2.94,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.94
1987-07-01,1987-07-01,418/4,12.7,3.3,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.3
1987-08-01,1987-08-01,418/4,12.35,3.65,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.65
1987-09-01,1987-09-01,418/4,12.29,3.71,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.71
1987-10-01,1987-10-01,418/4,12.17,3.83,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.83
1987-12-01,1987-12-01,418/4,12.39,3.61,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.61
1988-01-01,1988-01-01,418/4,13.36,2.64,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.64
1988-03-01,1988-03-01,418/4,13.57,2.43,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.43
1988-05-01,1988-05-01,418/4,13.33,2.67,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.67
1988-06-01,1988-06-01,418/4,13.15,2.85,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.85
1988-07-01,1988-07-01,418/4,13.29,2.71,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.71
1988-08-01,1988-08-01,418/4,12.94,3.06,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.06
1988-09-01,1988-09-01,418/4,12.79,3.21,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.21
1988-10-01,1988-10-01,418/4,12.68,3.32,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.32
1988-11-01,1988-11-01,418/4,13.12,2.88,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.88
1989-01-01,1989-01-01,418/4,13.21,2.79,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.79
1989-02-01,1989-02-01,418/4,13.31,2.69,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.69
1989-03-01,1989-03-01,418/4,13.42,2.58,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.58
1989-04-01,1989-04-01,418/4,13.47,2.53,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.53
1989-05-01,1989-05-01,418/4,13.41,2.59,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.59
1989-06-01,1989-06-01,418/4,13.25,2.75,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.75
1989-08-01,1989-08-01,418/4,12.77,3.23,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.23
1989-11-01,1989-11-01,418/4,13.15,2.85,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.85
1989-12-01,1989-12-01,418/4,14.65,1.35,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.35
1990-01-01,1990-01-01,418/4,14.35,1.65,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.65
1990-02-01,1990-02-01,418/4,14.28,1.72,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.72
1990-03-01,1990-03-01,418/4,14.05,1.95,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.95
1990-04-01,1990-04-01,418/4,13.94,2.06,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.06
1990-05-01,1990-05-01,418/4,13.74,2.26,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.26
1990-06-01,1990-06-01,418/4,13.41,2.59,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.59
1990-08-01,1990-08-01,418/4,12.83,3.17,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.17
1990-09-01,1990-09-01,418/4,12.7,3.3,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.3
1990-10-01,1990-10-01,418/4,12.79,3.21,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.21
1990-11-01,1990-11-01,418/4,13.45,2.55,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.55
1991-01-01,1991-01-01,418/4,13.76,2.24,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.24
1991-02-01,1991-02-01,418/4,13.88,2.12,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.12
1991-03-01,1991-03-01,418/4,14.19,1.81,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.81
1991-04-01,1991-04-01,418/4,13.96,2.04,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.04
1991-05-01,1991-05-01,418/4,13.75,2.25,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.25
1991-06-01,1991-06-01,418/4,13.4,2.6,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.6
1991-07-01,1991-07-01,418/4,13.03,2.97,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.97
1991-09-01,1991-09-01,418/4,12.6,3.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.4
1991-10-01,1991-10-01,418/4,12.62,3.38,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.38
1991-12-01,1991-12-01,418/4,12.77,3.23,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.23
1992-01-01,1992-01-01,418/4,13.02,2.98,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.98
1992-02-01,1992-02-01,418/4,13.12,2.88,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.88
1992-03-01,1992-03-01,418/4,13.08,2.92,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.92
1992-04-01,1992-04-01,418/4,13.05,2.95,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.95
1992-05-01,1992-05-01,418/4,12.83,3.17,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.17
1992-07-01,1992-07-01,418/4,12.51,3.49,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.49
1992-09-01,1992-09-01,418/4,12.29,3.71,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.71
1993-01-01,1993-01-01,418/4,12.45,3.55,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.55
1993-02-01,1993-02-01,418/4,12.43,3.57,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.57
1993-08-01,1993-08-01,418/4,12.18,3.82,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.82
1993-09-01,1993-09-01,418/4,12.16,3.84,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.84
1993-10-01,1993-10-01,418/4,12.2,3.8,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.8
1993-11-01,1993-11-01,418/4,13.0,3.0,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.0
1999-12-01,1999-12-01,418/4,13.52,2.48,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.48
2000-01-01,2000-01-01,418/4,13.6,2.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.4
2000-02-01,2000-02-01,418/4,13.68,2.32,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.32
2000-03-01,2000-03-01,418/4,13.55,2.45,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.45
2000-04-01,2000-04-01,418/4,13.62,2.38,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.38
2000-05-01,2000-05-01,418/4,13.84,2.16,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.16
2000-06-01,2000-06-01,418/4,13.47,2.53,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.53
2000-07-01,2000-07-01,418/4,13.2,2.8,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.8
2000-08-01,2000-08-01,418/4,12.91,3.09,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.09
2000-09-01,2000-09-01,418/4,12.79,3.21,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.21
2000-10-01,2000-10-01,418/4,12.67,3.33,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.33
2000-11-01,2000-11-01,418/4,12.6,3.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-3.4
2000-12-01,2000-12-01,418/4,13.44,2.56,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.56
2001-02-05,2001-02-05,418/4,14.33,1.67,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.67
2001-03-15,2001-03-15,418/4,14.32,1.68,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.68
2001-05-07,2001-05-07,418/4,13.94,2.06,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.06
2002-04-18,2002-04-18,418/4,14.27,1.73,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.73
2002-05-29,2002-05-29,418/4,13.91,2.09,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.09
2002-06-18,2002-06-18,418/4,13.8,2.2,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.2
2002-07-12,2002-07-12,418/4,13.59,2.41,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.41
2003-05-25,2003-05-25,418/4,14.12,1.88,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.88
2003-06-23,2003-06-23,418/4,14.21,1.79,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.79
2003-07-25,2003-07-25,418/4,13.88,2.12,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.12
2003-08-19,2003-08-19,418/4,13.68,2.32,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.32
2003-09-23,2003-09-23,418/4,13.47,2.53,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.53
2003-10-26,2003-10-26,418/4,13.61,2.39,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.39
2003-11-24,2003-11-24,418/4,14.22,1.78,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.78
2004-01-02,2004-01-02,418/4,14.6,1.4,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-1.4
2004-09-09,2004-09-09,418/4,13.44,2.56,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.56
2005-01-14,2005-01-14,418/4,13.81,2.19,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.19
2005-03-23,2005-03-23,418/4,13.7,2.3,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.3
2005-04-07,2005-04-07,418/4,13.75,2.25,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.25
2005-04-21,2005-04-21,418/4,13.72,2.28,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.28
2005-05-05,2005-05-05,418/4,13.66,2.34,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.34
2005-05-19,2005-05-19,418/4,13.61,2.39,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.39
2005-06-09,2005-06-09,418/4,13.48,2.52,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.52
2005-06-23,2005-06-23,418/4,13.43,2.57,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.57
2005-07-08,2005-07-08,418/4,13.34,2.66,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.66
2005-07-22,2005-07-22,418/4,13.28,2.72,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.72
2005-08-05,2005-08-05,418/4,13.24,2.76,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.76
2005-08-19,2005-08-19,418/4,13.2,2.8,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.8
2005-09-08,2005-09-08,418/4,13.12,2.88,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.88
2005-09-22,2005-09-22,418/4,13.1,2.9,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.9
2005-10-10,2005-10-10,418/4,13.07,2.93,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.93
2005-10-20,2005-10-20,418/4,13.05,2.95,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.95
2005-11-09,2005-11-09,418/4,13.32,2.68,135060.0,204980.0,16.0,T7 - ALUVIÕES DO TEJO,SELADO,SAMORA CORREIA,-2.68
